gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
0021700558,1610612765,Detroit,Pistons,DET,pistons,202699,Tobias,Harris,T. Harris,tobias-harris,F,,34,35:52,4.33,2.58,1,12,13,85,1,0,67,2,4,7,0.571,2,6,0.333,0.462,6,7,0.857
0021700558,1610612765,Detroit,Pistons,DET,pistons,202340,Avery,Bradley,A. Bradley,avery-bradley,F,,22,37:52,4.6,2.81,2,5,7,55,0,0,35,4,3,10,0.3,3,9,0.333,0.316,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,1626246,Boban,Marjanovic,B. Marjanovic,boban-marjanovic,C,,51,21:58,4.27,1.56,5,8,13,29,0,0,19,3,5,8,0.625,0,0,0.0,0.625,3,4,0.75
0021700558,1610612765,Detroit,Pistons,DET,pistons,203493,Reggie,Bullock Jr.,R. Bullock Jr.,reggie-bullock-jr,G,,25,34:36,4.39,2.53,0,0,0,29,0,0,19,1,1,2,0.5,5,8,0.625,0.599,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,202397,Ish,Smith,I. Smith,ish-smith,G,,14,30:38,4.78,2.43,3,6,9,68,1,0,56,4,2,5,0.4,1,5,0.2,0.299,2,3,0.667
0021700558,1610612765,Detroit,Pistons,DET,pistons,1628379,Luke,Kennard,L. Kennard,luke-kennard,,,5,23:32,4.55,1.86,2,1,3,21,0,0,14,2,5,6,0.833,1,1,1.0,0.856,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,203961,Eric,Moreland,E. Moreland,eric-moreland,,,24,17:49,4.44,1.31,3,7,10,20,0,0,15,0,0,1,0.0,0,1,0.0,0.0,3,5,0.6
0021700558,1610612765,Detroit,Pistons,DET,pistons,202779,Dwight,Buycks,D. Buycks,dwight-buycks,,,20,17:22,4.33,1.25,3,4,7,44,0,0,27,4,3,6,0.5,4,6,0.667,0.582,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,201229,Anthony,Tolliver,A. Tolliver,anthony-tolliver,,,43,20:21,4.31,1.46,5,4,9,36,0,0,29,1,1,2,0.5,1,3,0.333,0.4,3,4,0.75
0021700558,1610612765,Detroit,Pistons,DET,pistons,203083,Andre,Drummond,A. Drummond,andre-drummond,,DND - Injury/Illness,0,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,1627740,Henry,Ellenson,H. Ellenson,henry-ellenson,,DNP - Coach's Decision,8,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,204038,Langston,Galloway,L. Galloway,langston-galloway,,DNP - Coach's Decision,9,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,1626242,Luis,Montero,L. Montero,luis-montero,,DNP - Coach's Decision,44,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1626196,Josh,Richardson,J. Richardson,josh-richardson,F,,0,37:51,4.17,2.63,0,0,0,63,0,0,44,5,4,6,0.667,3,6,0.5,0.582,1,2,0.5
0021700558,1610612748,Miami,Heat,MIA,heat,203482,Kelly,Olynyk,K. Olynyk,kelly-olynyk,F,,9,35:47,4.28,2.54,8,16,23,89,0,0,72,3,7,8,0.875,4,7,0.571,0.732,1,2,0.5
