SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22015,101162,Marcin Gortat,1610612764,WAS,Washington Wizards,Cut,Offensive,0.353,75,0.314,1.134,0.577,0.114,0.052,0.104,0.013,0.583,0.577,4.1,4.6,2.0,3.5,1.5
22015,2730,Dwight Howard,1610612745,HOU,Houston Rockets,Cut,Offensive,0.774,71,0.222,1.384,0.762,0.222,0.06,0.213,0.065,0.713,0.762,3.0,4.2,1.8,2.4,0.6
22015,202324,Derrick Favors,1610612762,UTA,Utah Jazz,Cut,Offensive,0.593,62,0.227,1.259,0.637,0.172,0.069,0.168,0.06,0.634,0.637,3.7,4.7,2.0,3.1,1.1
22015,201599,DeAndre Jordan,1610612746,LAC,LA Clippers,Cut,Offensive,0.901,77,0.208,1.481,0.814,0.276,0.043,0.265,0.103,0.778,0.814,2.4,3.6,1.5,1.9,0.4
22015,201572,Brook Lopez,1610612751,BKN,Brooklyn Nets,Cut,Offensive,0.709,73,0.137,1.33,0.643,0.189,0.034,0.184,0.053,0.665,0.643,2.8,3.8,1.5,2.3,0.8
22015,202328,Greg Monroe,1610612749,MIL,Milwaukee Bucks,Cut,Offensive,0.503,79,0.176,1.203,0.608,0.203,0.057,0.184,0.042,0.627,0.608,2.7,3.2,1.3,2.1,0.8
22015,202355,Hassan Whiteside,1610612748,MIA,Miami Heat,Cut,Offensive,0.808,73,0.181,1.405,0.697,0.237,0.029,0.237,0.087,0.694,0.697,2.4,3.3,1.4,1.9,0.6
22015,2585,Zaza Pachulia,1610612742,DAL,Dallas Mavericks,Cut,Offensive,0.218,76,0.314,1.031,0.512,0.173,0.107,0.169,0.036,0.52,0.512,3.0,3.1,1.1,2.2,1.1
22015,203500,Steven Adams,1610612760,OKC,Oklahoma City Thunder,Cut,Offensive,0.65,80,0.294,1.29,0.671,0.165,0.045,0.165,0.045,0.67,0.671,2.2,2.8,1.2,1.8,0.6
22015,203953,Jabari Parker,1610612749,MIL,Milwaukee Bucks,Cut,Offensive,0.463,76,0.172,1.182,0.604,0.125,0.073,0.12,0.026,0.599,0.604,2.5,3.0,1.3,2.1,0.8
