SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22014,2757,Beno Udrih,1610612763,MEM,Memphis Grizzlies,Spotup,Offensive,0.468,79,0.19,0.917,0.383,0.025,0.041,0.025,0.017,0.372,0.465,1.5,1.4,0.6,1.5,0.9
22014,201588,George Hill,1610612754,IND,Indiana Pacers,Spotup,Offensive,0.965,43,0.13,1.279,0.464,0.012,0.023,0.012,0.012,0.453,0.649,2.0,2.6,0.9,2.0,1.0
22014,201954,Darren Collison,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.696,45,0.143,1.038,0.385,0.047,0.057,0.047,0.009,0.387,0.526,2.4,2.4,0.8,2.1,1.3
22014,2743,Kris Humphries,1610612764,WAS,Washington Wizards,Spotup,Offensive,0.404,64,0.23,0.873,0.435,0.008,0.008,0.0,0.0,0.437,0.435,2.0,1.7,0.8,1.9,1.1
22014,202344,Trevor Booker,1610612762,UTA,Utah Jazz,Spotup,Offensive,0.287,79,0.218,0.815,0.36,0.052,0.104,0.052,0.0,0.348,0.443,1.7,1.4,0.5,1.4,0.9
22014,201988,Patty Mills,1610612759,SAS,San Antonio Spurs,Spotup,Offensive,0.416,51,0.315,0.886,0.319,0.057,0.041,0.057,0.016,0.333,0.438,2.4,2.1,0.7,2.2,1.5
22014,203086,Meyers Leonard,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.895,54,0.315,1.161,0.44,0.032,0.075,0.032,0.011,0.419,0.607,1.7,2.0,0.7,1.6,0.9
22014,201188,Marc Gasol,1610612763,MEM,Memphis Grizzlies,Spotup,Offensive,0.395,81,0.086,0.871,0.41,0.056,0.032,0.048,0.032,0.411,0.419,1.5,1.3,0.6,1.4,0.9
22014,203079,Dion Waiters,1610612760,OKC,Oklahoma City Thunder,Spotup,Offensive,0.395,47,0.173,0.871,0.333,0.04,0.032,0.04,0.016,0.331,0.44,2.6,2.3,0.8,2.5,1.7
22014,203527,Ryan Kelly,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.19,52,0.379,0.74,0.268,0.068,0.062,0.055,0.0,0.301,0.35,2.8,2.1,0.7,2.4,1.8
22014,203960,JaKarr Sampson,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.147,74,0.333,0.697,0.298,0.058,0.09,0.058,0.0,0.297,0.37,2.1,1.5,0.5,1.8,1.2
22014,2400,Drew Gooden,1610612764,WAS,Washington Wizards,Spotup,Offensive,0.521,51,0.344,0.946,0.433,0.045,0.036,0.045,0.009,0.429,0.486,2.2,2.1,0.9,2.0,1.2
22014,203499,Shane Larkin,1610612752,NYK,New York Knicks,Spotup,Offensive,0.505,76,0.205,0.938,0.394,0.053,0.044,0.053,0.018,0.398,0.471,1.5,1.4,0.5,1.4,0.8
22014,201573,Jerryd Bayless,1610612749,MIL,Milwaukee Bucks,Spotup,Offensive,0.241,77,0.193,0.772,0.317,0.015,0.066,0.015,0.007,0.301,0.405,1.8,1.4,0.5,1.6,1.1
22014,2403,Nene,1610612764,WAS,Washington Wizards,Spotup,Offensive,0.6,67,0.128,0.99,0.511,0.058,0.048,0.058,0.01,0.49,0.516,1.6,1.5,0.7,1.4,0.7
22014,203492,Ray McCallum,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.381,69,0.198,0.864,0.35,0.042,0.085,0.025,0.0,0.347,0.451,1.7,1.5,0.5,1.5,1.0
22014,101181,Jose Calderon,1610612752,NYK,New York Knicks,Spotup,Offensive,0.729,42,0.218,1.052,0.365,0.0,0.0,0.0,0.0,0.365,0.526,2.3,2.4,0.8,2.3,1.5
22014,201973,Jonas Jerebko,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.685,46,0.404,1.031,0.432,0.021,0.072,0.021,0.0,0.412,0.545,2.1,2.2,0.8,1.9,1.1
22014,2548,Dwyane Wade,1610612748,MIA,Miami Heat,Spotup,Offensive,0.388,62,0.079,0.87,0.4,0.078,0.096,0.078,0.0,0.409,0.453,1.9,1.6,0.6,1.5,0.9
22014,202407,Elijah Millsap,1610612762,UTA,Utah Jazz,Spotup,Offensive,0.182,47,0.399,0.73,0.294,0.08,0.131,0.08,0.007,0.299,0.385,2.9,2.1,0.7,2.3,1.6
22014,203487,Michael Carter-Williams,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.234,41,0.149,0.767,0.317,0.023,0.062,0.023,0.016,0.295,0.404,3.1,2.4,0.9,2.9,2.0
22014,201572,Brook Lopez,1610612751,BKN,Brooklyn Nets,Spotup,Offensive,0.429,72,0.091,0.891,0.451,0.045,0.055,0.045,0.027,0.436,0.451,1.5,1.4,0.6,1.4,0.8
22014,2590,Mo Williams,1610612766,CHA,Charlotte Hornets,Spotup,Offensive,0.956,27,0.149,1.244,0.535,0.013,0.077,0.0,0.0,0.5,0.669,2.9,3.6,1.4,2.6,1.2
22014,202708,Norris Cole,1610612748,MIA,Miami Heat,Spotup,Offensive,0.335,47,0.299,0.843,0.333,0.017,0.043,0.017,0.0,0.33,0.435,2.4,2.1,0.8,2.3,1.5
22014,203156,Henry Sims,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.4,73,0.167,0.873,0.43,0.009,0.018,0.009,0.0,0.427,0.439,1.5,1.3,0.6,1.5,0.8
22014,202362,Lance Stephenson,1610612766,CHA,Charlotte Hornets,Spotup,Offensive,0.07,61,0.223,0.6,0.268,0.063,0.094,0.05,0.019,0.275,0.308,2.6,1.6,0.6,2.3,1.7
22014,201943,Brandon Jennings,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.906,41,0.117,1.173,0.378,0.086,0.0,0.086,0.0,0.432,0.541,2.0,2.3,0.7,1.8,1.1
22014,708,Kevin Garnett,1610612751,BKN,Brooklyn Nets,Spotup,Offensive,0.65,42,0.279,1.011,0.5,0.011,0.011,0.011,0.0,0.5,0.505,2.2,2.3,1.1,2.2,1.1
22014,2732,Ben Gordon,1610612753,ORL,Orlando Magic,Spotup,Offensive,0.858,56,0.219,1.133,0.479,0.06,0.084,0.036,0.0,0.47,0.592,1.5,1.7,0.6,1.3,0.7
22014,201973,Jonas Jerebko,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.746,29,0.422,1.056,0.417,0.022,0.045,0.022,0.011,0.404,0.542,3.1,3.2,1.2,2.9,1.7
22014,203516,James Ennis III,1610612748,MIA,Miami Heat,Spotup,Offensive,0.418,62,0.325,0.887,0.33,0.085,0.066,0.085,0.019,0.349,0.44,1.7,1.5,0.5,1.5,1.0
22014,202498,Lance Thomas,1610612752,NYK,New York Knicks,Spotup,Offensive,0.225,40,0.302,0.762,0.371,0.041,0.098,0.041,0.0,0.361,0.4,3.0,2.3,1.0,2.6,1.6
22014,2449,Luis Scola,1610612754,IND,Indiana Pacers,Spotup,Offensive,0.188,81,0.151,0.738,0.373,0.04,0.103,0.032,0.016,0.349,0.391,1.6,1.1,0.5,1.4,0.9
22014,203459,Allen Crabbe,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.862,51,0.466,1.136,0.419,0.037,0.062,0.037,0.012,0.407,0.601,1.6,1.8,0.6,1.5,0.8
22014,202692,Alec Burks,1610612762,UTA,Utah Jazz,Spotup,Offensive,0.525,27,0.24,0.948,0.39,0.082,0.062,0.093,0.0,0.402,0.482,3.6,3.4,1.2,3.0,1.9
22014,203490,Otto Porter Jr.,1610612764,WAS,Washington Wizards,Spotup,Offensive,0.256,74,0.244,0.784,0.327,0.026,0.078,0.026,0.0,0.319,0.418,1.6,1.2,0.5,1.4,0.9
22014,101122,Danny Granger,1610612748,MIA,Miami Heat,Spotup,Offensive,0.711,30,0.426,1.047,0.39,0.047,0.058,0.047,0.0,0.395,0.539,2.9,3.0,1.0,2.6,1.6
22014,201949,James Johnson,1610612761,TOR,Toronto Raptors,Spotup,Offensive,0.538,70,0.181,0.957,0.452,0.053,0.085,0.053,0.032,0.426,0.5,1.3,1.3,0.5,1.2,0.7
